state,x,y
Andhra Pradesh,106,-213
Arunachal Pradesh,310,160
Assam,258,154
Bihar,74,124
Chhattisgarh,-18,1
Goa,-239,-182
Gujarat,-292,39
Haryana,-173,233
Himachal Pradesh,-146,310
Jharkhand,72,70
Karnataka,-182,-205
Kerala,-179,-308
Madhya Pradesh,-130,58
Maharashtra,-60,-40
Manipur,311,96
Meghalaya,231,128
Mizoram,284,59
Nagaland,320,100
Odisha,54,-25
Punjab,-190,278
Rajasthan,-160,140
Sikkim,200,180
Tamil Nadu,-131,-331
Telangana,-113,-107
Tripura,248,69
Uttar Pradesh,-66,149
Uttarakhand,-96,266
West Bengal,143,56
Andaman and Nicobar Islands,180,-320
Chandigarh,-10,210
Dadra and Nagar Haveli and Daman and Diu,-160,-100
Delhi,-149,212
Jammu and Kashmir,40,270
Ladakh,80,290
Lakshadweep,-280,-260
Puducherry,100,-200
